2025-10-01 13:35:26,411 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,423 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,435 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,448 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,461 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,472 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,483 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,495 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,507 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,519 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,530 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,543 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,556 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,569 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,581 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,593 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,604 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,615 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,627 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,639 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,651 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,663 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,675 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,676 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,677 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,679 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,680 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,682 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,683 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,684 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,686 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,689 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,690 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,691 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,693 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,694 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,695 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,697 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,698 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,700 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,702 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,703 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,704 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,706 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,707 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,708 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,710 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,711 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,712 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,715 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,716 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,717 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,719 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,720 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,721 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,722 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,724 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,725 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,727 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,728 - Sensor 1: BLOCKED | Sensor 2: OPEN
